,zipcode,latitude,longitude,cluster,x,y
2161,98532,41.439,-105.801,6,-811325.5073568149,2090012.1444325198
2162,10472,47.3114,-122.0053,17,-1952986.076873335,2971024.254759953
2163,77378,39.6382,-106.6206,6,-901394.8466295946,1896856.83603088
2164,07050,36.9168,-76.2875,7,1727349.5498434321,1721228.8937410917
2165,75135,38.8729,-86.4871,3,816285.8691355911,1801553.9075771798
2166,56072,40.3731,-74.9266,11,1759514.4052823295,2124665.600829446
2167,02062,32.7162,-88.7332,19,676622.3375909746,1097510.1591339281
2168,35565,39.8036,-75.0058,11,1766991.3753023695,2060945.1860265082
2169,45426,32.1275,-96.2298,0,-21576.580097921164,1006015.0805655576
2170,98506,40.0988,-85.6846,3,870003.9423538859,1945311.2976607177
2171,95661,32.3417,-86.3529,4,901820.3312640939,1075677.0913114578
2172,75862,40.2656,-79.8568,9,1354489.0995941644,2032055.4428624287
2173,33186,42.2044,-83.1999,18,1046765.1744913041,2204375.8750115638
2174,36322,48.7974,-122.4448,17,-1940141.3073953348,3137655.9369950024
2175,54325,41.9296,-71.3009,1,2011128.1242525203,2365863.8572314153
2176,08050,36.2028,-121.1273,5,-2212854.8400462153,1755711.1425280946
2177,80919,47.2825,-122.5039,17,-1990343.8544356155,2978295.017731314
2178,60804,40.8629,-73.9879,11,1823921.0512973312,2195821.146130109
2179,35603,37.3042,-121.8099,5,-2238401.533079457,1890687.6581263447
2180,56050,36.7304,-76.5931,7,1705182.2041941085,1695266.4328308238
2181,15417,40.2395,-79.5823,9,1377795.9164829121,2033120.2701964271
2182,95306,40.3895,-82.8121,10,1106380.1114539378,2007505.6936393229
2183,77074,40.8904,-74.4415,11,1786297.0870574936,2190204.2496494255
2184,75237,36.8952,-104.4349,6,-743690.4506004798,1572039.412121504
2185,80443,39.743,-86.1179,3,837732.2029884892,1901775.3212195989
2186,07054,40.9918,-73.98,11,1821249.1936336781,2210021.3165004416
2187,80016,46.0471,-118.4093,2,-1721085.661428301,2765953.4901098846
2188,30808,39.6472,-105.0795,6,-770934.0938098063,1884300.1213370913
2189,39063,39.7886,-85.9779,3,849018.7770328347,1908099.61762865
2190,74731,43.5577,-93.2618,8,220215.66949023263,2288148.1312549636
2191,29730,43.8216,-91.7536,8,340128.704144174,2322021.9781326507
2192,95367,42.1868,-71.2033,1,2011472.6941049462,2395728.5177714033
2193,44509,33.0683,-96.2391,0,-22185.7877374572,1110944.710622741
2194,80113,30.4273,-91.0356,19,475787.894145077,829245.3041953115
2195,76078,32.9029,-96.5639,0,-52432.84592485329,1092613.7915048555
2196,80235,33.0828,-89.8612,19,569111.5937963076,1130922.883102852
2197,08724,33.8226,-85.8927,4,927135.4703996576,1244502.3180221543
2198,78701,44.0499,-94.411,8,126886.63838079854,2340944.848654737
2199,60616,40.147,-74.609,11,1791239.8847905386,2105898.1756943576
2200,45206,33.2841,-96.574,0,-53114.9659823585,1135167.3010191831
2201,24073,40.1077,-74.0635,11,1837122.5242250755,2112022.530233787
2202,99324,39.6012,-104.7394,6,-742612.8694398239,1876459.4898033768
2203,07640,40.0237,-79.8839,9,1356811.2174012666,2004956.2284618695
2204,33147,38.9268,-104.8464,6,-758704.6129681274,1802044.1113665851
2205,19145,38.2447,-104.5318,6,-738651.6430077564,1723431.0716939715
2206,36109,48.1761,-122.521,17,-1964423.5390548937,3073474.724201724
2207,07731,37.994,-121.7036,5,-2208753.2665306064,1962687.0130561125
2208,76240,29.3205,-96.0858,14,-8337.665763574247,694032.0641724635
2209,07094,34.1437,-86.148,4,900088.5531859235,1277735.0667275265
2210,94541,31.8885,-96.2988,0,-28138.895625907124,979403.9132933157
2211,15641,39.2011,-104.8546,6,-756545.4705861663,1832720.068087256
2212,50322,40.9388,-75.055,11,1735116.8675381779,2184122.701128682
